2438|4
3320|3
4238|4
5004|1
5851|2,3
6711|3
7570|1,4
8429|3
9288|3,4
10159|4
11076|1,3,4
11947|3
12817|3
13723|1,2,4
14594|3
15476|1,2
16358|1,3
17252|2
18146|1,2
19040|2
19946|1
20840|4
21734|2,3,4
22605|1
23499|1
24404|2
25287|2,4
26169|2
27028|2,4
27945|3
28839|1,3
29733|2,3
30592|2,3
31498|1
32392|1
33286|1,3
34191|1,2,4
35062|1
35956|3
36862|2,3
37756|1
38684|2
39567|1
40461|2,3,4
41401|1,4
42342|1,3
43224|2,3
44130|2,4
45023|2
45917|2,3
46811|1,4
47682|1,3
48623|1,4
49551|2
50376|1,4
51258|4
52140|1,3
53023|3,4
53894|2
54776|1,4
55647|1,3,4
56564|1,2,4
57435|1,3
58329|1,2
59188|1,4
60058|2
60952|4
61823|3
62705|4
63576|1,3
64482|1,4
65387|1,4
66293|2,3
67129|4
68011|2,3
68882|4
69764|3,4
70635|3
71517|1
72423|4
73305|1,2
74188|2,3
75082|1,3
75976|2,3
76881|2
77775|2,4
78669|1
79552|3
80434|1,2
81305|2,3
82199|1,3
83093|2,3
83987|4
84869|1
85775|3
86680|1
87574|4
88503|2,3
89374|1,3,4
90279|2,3,4
91162|4
92044|2,3
92949|1,2
93855|3
94761|1,3,4
95655|2,3,4
96549|1
97466|1
98325|2,3
99219|2,4
100113|4
101007|1,3
101924|1,2
102841|1
103747|1,2
104641|3
105558|2,3,4
106475|4
107404|2,3
108298|3
109203|1
110086|2
110980|2,3
111909|2,3,4
112768|3
113697|4
114579|2
115450|2,3
116344|1,3
117261|1,2
118120|1,3
119014|3
119896|1
120790|1,3
121661|2
122543|1
123426|1
124308|1,2,3
125190|2,3
126073|2
126955|2
127826|4
128708|1,3
129567|3
130438|1
131320|3
132191|1,4
133062|4
133956|1
134838|3
135721|2,3
136603|1
137485|3
138368|1
139262|2
140202|3,4
141096|2,4
141967|1,4
142861|2,4
143778|1,2
144660|4
145554|1
146460|3
147365|1,2
148248|1
149177|4
150047|1
150930|4
151800|1,3
152694|2,3
153612|4
154517|1,2
155411|3
156328|2,3,4
157211|2
158105|1
159022|2,4
159927|3
160821|1
161739|1,2
162621|3,4
163538|1,4
164420|4
165326|1,4
166220|3
167137|1,4
168066|2
169006|2
169947|1,3
170864|3,4
171723|1,3,4
172640|3
173569|1,3,4
174452|1
175357|2,3,4
176251|1,4
177157|4
178051|1
178991|4
179873|1,3,4
180767|3
181673|1,2,4
182579|4
